source,target,distance,time_ns,relaxed
1516859209,3006856855,6460,2963292,597
460404157,294733430,903,834834,101
4194388185,3398603118,18606,4015709,1162
1235136313,614396322,11343,3193792,946
1218053534,4202689847,1337,1434083,275
4890334323,1036613849,4749,2725125,701
295078558,318115712,863,1090791,169
1596568073,260108935,13634,3557917,1411
305705156,1583979659,2142,1757416,337
309772317,1264999858,19026,3461791,1179
388004401,444741419,13805,3206792,972
3635719741,1756570161,15249,3971292,1611
279160910,2465833276,9585,3740250,952
2027842689,2088147591,5544,3227000,1105
202876223,712159053,9129,3462375,995
2410759326,87285667,2955,2812750,808
252436675,410063712,14355,3225000,1256
2887340536,484698639,7907,3203500,1012
281898894,403147391,9501,3005125,903
3762081099,2661346557,5671,2634625,671
1370086128,2378833281,14201,3063167,1095
1128777933,2149103585,5319,2332834,645
107392872,3076472452,16433,2748750,835
1699270920,371780883,8902,3163584,899
2680197109,1724792,2322,2650000,892
4602713515,670666396,5032,2965750,585
1232919457,3520798794,2735,2080292,219
2776380679,311603653,4527,3014750,837
2459588604,3698777349,6932,3198125,822
1222226765,2054834830,2337,2086000,378
73316842,722949459,16352,3154250,1166
3891040212,3561924493,4375,2795750,805
4177631584,348622117,4734,2245042,537
1141256477,30097922,4952,2643750,771
31389427,5034342468,3400,2505125,685
1134028043,281235846,5674,4346125,769
252618924,656071893,8299,3401500,1082
4258489392,1149417416,14282,3015417,957
403419124,20946303,16179,2945000,1043
30411698,1098758108,5690,3227750,1049
1750260168,435046208,2931,2368333,481
267948226,313957711,10581,2883000,928
466294792,430859601,3215,2840125,847
1980088821,250229191,5385,2637750,733
4846283587,2422270545,13272,4515000,1194
1125684997,259983927,20064,3192292,1041
270091463,394352889,14118,3126917,1189
3476268021,292486133,16158,3248916,1195
2276119273,587703084,6962,2868500,868
4999199796,3341699844,16666,3300250,1157
190717168,860553508,4892,2946791,773
2305021737,1104297590,1321,1039875,152
2990545269,1539932585,10243,3769625,1288
334244208,293892082,8844,3312416,1050
3253922884,5310333353,3338,2428750,480
1096242146,1832881646,8092,3513292,893
2493603024,280593015,3654,2370208,613
3707639488,312487820,11673,3112708,1009
1234960408,685330817,13142,3421000,1087
2388294448,1086032676,21761,3687833,1259
26198072,1064928812,1964,2536125,747
32629307,3645512279,15764,3062500,1114
685331542,1093864166,11915,3800542,1091
664606182,281382106,9909,3718667,1201
1316460957,4935123342,9808,3685500,905
2709031304,1271367820,23017,4818750,975
4860703859,440324142,14084,3152000,1229
4195971788,870415052,13447,3226125,1240
95248066,1158109569,11246,3391375,1221
2520774337,5060556617,8335,2702292,725
34570622,306245578,8958,3622292,909
282651557,4368467213,18941,3033167,693
464238835,3034207224,3524,2320250,508
1227896729,1137460596,5021,2330792,586
4871267799,1269035088,9112,2938708,1040
2381463184,2811645416,15611,5154209,1028
2093234477,389078426,5924,2903792,1097
1297804187,2381790172,10406,2942917,781
1583313200,1207267848,15992,3583750,1166
4348887792,3194252242,14048,3101667,912
1352153221,1262401298,17438,4213583,1312
1776553666,374401540,15215,4510458,1257
5306341621,310256174,13658,3305417,1269
303648764,3723733063,4082,1840000,352
1153165531,3017035966,9447,2959875,902
418044346,2475185374,5261,2783416,875
3741462602,320199193,18027,4025834,1314
303793606,3397875583,3438,1333958,248
149180545,1323378100,6367,3086625,926
2475419146,3718850002,18806,2986250,856
5221939272,280593014,2451,2017208,503
2507522525,2282880742,6331,2771291,695
278781999,284852647,13154,3963334,1441
2064649097,556163137,9178,12218625,1124
1272527885,117592,3846,2813541,737
1877830881,2349873762,15088,3053000,878
249495297,1173213554,20136,3820750,1315
3403893677,1996104796,3228,4429625,779
1570136383,5402591259,16476,3716917,1393
3680314006,369910053,13897,2749959,928
1034079070,3443519169,7227,3079583,869
1233762972,3190136271,7029,3518792,1110
313927853,3051432601,14530,3117500,1078
1324014001,281707074,9488,3207500,890
473594054,1586051055,12618,3197042,1164
1168350377,4927543547,20784,3536292,1222
1163347709,2423853314,4824,2327292,408
