source,target,distance,time_ns,relaxed
1516859209,3006856855,6460,32531833,91629
460404157,294733430,903,1673542,6043
4194388185,3398603118,18606,219487167,952330
1235136313,614396322,11343,170915333,616305
1218053534,4202689847,1337,3973792,16518
4890334323,1036613849,4749,39855708,179373
295078558,318115712,863,23224750,6334
1596568073,260108935,13634,200145333,915220
305705156,1583979659,2142,8161500,51479
309772317,1264999858,19026,218161666,984443
388004401,444741419,13805,148265542,746785
3635719741,1756570161,15249,158300250,795070
279160910,2465833276,9585,94855334,461992
2027842689,2088147591,5544,33663958,181752
202876223,712159053,9129,46643875,252146
2410759326,87285667,2955,35420292,70588
252436675,410063712,14355,196650083,843268
2887340536,484698639,7907,34550500,192221
281898894,403147391,9501,52809250,272253
3762081099,2661346557,5671,34286291,176873
1370086128,2378833281,14201,140671583,703604
1128777933,2149103585,5319,18850125,118100
107392872,3076472452,16433,196730000,819137
1699270920,371780883,8902,108504458,551598
2680197109,1724792,2322,15047708,93333
4602713515,670666396,5032,16521875,100245
1232919457,3520798794,2735,2559792,14642
2776380679,311603653,4527,26667875,158841
2459588604,3698777349,6932,44356458,239413
1222226765,2054834830,2337,5789959,34939
73316842,722949459,16352,152332333,782777
3891040212,3561924493,4375,17429500,107124
4177631584,348622117,4734,18199750,105697
1141256477,30097922,4952,39677083,227765
31389427,5034342468,3400,42936458,171858
1134028043,281235846,5674,40251666,227902
252618924,656071893,8299,65987834,353972
4258489392,1149417416,14282,210491250,943288
403419124,20946303,16179,187894250,873984
30411698,1098758108,5690,45407458,254509
1750260168,435046208,2931,10959500,68545
267948226,313957711,10581,104196084,513210
466294792,430859601,3215,11107291,70362
1980088821,250229191,5385,40414208,224589
4846283587,2422270545,13272,87953625,385022
1125684997,259983927,20064,177070875,855492
270091463,394352889,14118,193220958,920333
3476268021,292486133,16158,232090375,976253
2276119273,587703084,6962,54383292,301273
4999199796,3341699844,16666,228242250,1063081
190717168,860553508,4892,33698500,198785
2305021737,1104297590,1321,1112334,7694
2990545269,1539932585,10243,88962916,456297
334244208,293892082,8844,76136417,325524
3253922884,5310333353,3338,10369666,68025
1096242146,1832881646,8092,44818375,243379
2493603024,280593015,3654,20860625,128285
3707639488,312487820,11673,156752750,729477
