source,target,distance,time_ns,relaxed
1516859209,3006856855,6460,71947500,325377
460404157,294733430,903,1290542,5869
4194388185,3398603118,18606,179422875,1038850
1235136313,614396322,11343,110806542,550794
1218053534,4202689847,1337,2509208,17715
4890334323,1036613849,4749,96399083,345246
295078558,318115712,863,1327792,10425
1596568073,260108935,13634,176272958,985639
305705156,1583979659,2142,11693417,90195
309772317,1264999858,19026,215666875,1132459
388004401,444741419,13805,97288750,625713
3635719741,1756570161,15249,122224125,782662
279160910,2465833276,9585,45829125,315181
2027842689,2088147591,5544,32275833,212858
202876223,712159053,9129,119151333,722528
2410759326,87285667,2955,17898500,127265
252436675,410063712,14355,271503875,1099591
2887340536,484698639,7907,84911834,430789
281898894,403147391,9501,193535583,836610
3762081099,2661346557,5671,43785125,247251
1370086128,2378833281,14201,230801708,953991
1128777933,2149103585,5319,41403000,275459
107392872,3076472452,16433,211696875,1157060
1699270920,371780883,8902,74091959,428718
2680197109,1724792,2322,22421958,157154
4602713515,670666396,5032,53490541,348194
1232919457,3520798794,2735,3405625,25284
2776380679,311603653,4527,51525958,343033
2459588604,3698777349,6932,107806042,523134
1222226765,2054834830,2337,9984250,78457
73316842,722949459,16352,175918542,946094
3891040212,3561924493,4375,44218708,297236
4177631584,348622117,4734,47581417,313851
1141256477,30097922,4952,31312875,211912
31389427,5034342468,3400,33988709,213043
1134028043,281235846,5674,80563500,471965
252618924,656071893,8299,154871333,754328
4258489392,1149417416,14282,187699375,990335
403419124,20946303,16179,215034417,1084181
30411698,1098758108,5690,40759833,284545
1750260168,435046208,2931,15132375,106172
267948226,313957711,10581,128195125,769317
466294792,430859601,3215,25732542,186645
1980088821,250229191,5385,30485416,206791
4846283587,2422270545,13272,127798833,641947
1125684997,259983927,20064,205514875,1168667
270091463,394352889,14118,186785792,1049308
3476268021,292486133,16158,220368625,1018683
2276119273,587703084,6962,30969084,208293
4999199796,3341699844,16666,205714084,1154461
190717168,860553508,4892,52054667,343261
2305021737,1104297590,1321,2529333,20256
2990545269,1539932585,10243,122338500,746825
334244208,293892082,8844,87040667,440876
3253922884,5310333353,3338,26304375,192061
1096242146,1832881646,8092,89985375,548003
2493603024,280593015,3654,26197250,180397
3707639488,312487820,11673,82960875,527313
1234960408,685330817,13142,103104709,637241
2388294448,1086032676,21761,233846917,1149606
26198072,1064928812,1964,12568917,86531
32629307,3645512279,15764,108777541,673414
685331542,1093864166,11915,152388083,844383
664606182,281382106,9909,159544667,873146
1316460957,4935123342,9808,105341250,649530
2709031304,1271367820,23017,215630292,1081816
4860703859,440324142,14084,184246250,1049289
4195971788,870415052,13447,168893875,938593
95248066,1158109569,11246,123476792,564202
2520774337,5060556617,8335,117487833,679830
34570622,306245578,8958,122569750,746016
282651557,4368467213,18941,219061792,1167318
464238835,3034207224,3524,18924583,133432
1227896729,1137460596,5021,41383375,280627
