source,target,distance,time_ns,relaxed
1516859209,3006856855,6460,160017125,493178
460404157,294733430,903,8507500,14964
4194388185,3398603118,18606,621937042,2104289
1235136313,614396322,11343,429175584,1455725
1218053534,4202689847,1337,24384958,48908
4890334323,1036613849,4749,240212083,702773
295078558,318115712,863,15270250,27188
1596568073,260108935,13634,503642833,1663674
305705156,1583979659,2142,78269000,231953
309772317,1264999858,19026,624476250,2143158
388004401,444741419,13805,525793333,1660780
3635719741,1756570161,15249,557814208,1850910
279160910,2465833276,9585,361056625,1144617
2027842689,2088147591,5544,198988875,501444
202876223,712159053,9129,362264334,1082876
2410759326,87285667,2955,106639625,318252
252436675,410063712,14355,543224833,1713090
2887340536,484698639,7907,303245459,818938
281898894,403147391,9501,439634625,1207019
3762081099,2661346557,5671,257421833,607249
1370086128,2378833281,14201,553085833,1742851
1128777933,2149103585,5319,202305125,589705
107392872,3076472452,16433,548257375,1875527
1699270920,371780883,8902,384256500,1220431
2680197109,1724792,2322,110784667,297568
4602713515,670666396,5032,159238125,479825
1232919457,3520798794,2735,28931541,63561
2776380679,311603653,4527,227923167,598692
2459588604,3698777349,6932,300150042,842993
1222226765,2054834830,2337,78197584,194187
73316842,722949459,16352,596776959,1940001
3891040212,3561924493,4375,173661917,532171
4177631584,348622117,4734,172407333,517256
1141256477,30097922,4952,195445041,505256
31389427,5034342468,3400,182589333,472210
1134028043,281235846,5674,276113792,747960
252618924,656071893,8299,338547709,1020011
4258489392,1149417416,14282,534135083,1750558
403419124,20946303,16179,593376916,1942428
30411698,1098758108,5690,238316500,668807
1750260168,435046208,2931,105778500,277457
267948226,313957711,10581,457690417,1399113
466294792,430859601,3215,128028000,298652
1980088821,250229191,5385,233592458,700058
4846283587,2422270545,13272,473044792,1473501
1125684997,259983927,20064,644841125,2108791
270091463,394352889,14118,508576792,1702775
3476268021,292486133,16158,603889583,1927964
2276119273,587703084,6962,254834583,817797
4999199796,3341699844,16666,537665292,1914441
190717168,860553508,4892,258263625,774728
2305021737,1104297590,1321,19133458,36445
2990545269,1539932585,10243,570004667,1669122
334244208,293892082,8844,374877208,1041435
3253922884,5310333353,3338,118706083,297487
1096242146,1832881646,8092,397192625,1154093
2493603024,280593015,3654,158677000,470618
3707639488,312487820,11673,460048333,1476540
1234960408,685330817,13142,479155833,1617411
2388294448,1086032676,21761,635492916,2277530
26198072,1064928812,1964,87827458,227885
32629307,3645512279,15764,510892125,1819445
685331542,1093864166,11915,476781000,1492482
664606182,281382106,9909,445688917,1348689
1316460957,4935123342,9808,440893042,1351331
2709031304,1271367820,23017,674262000,2254137
4860703859,440324142,14084,508363500,1698310
4195971788,870415052,13447,503708750,1690943
95248066,1158109569,11246,419666541,1472873
2520774337,5060556617,8335,373468750,1234717
34570622,306245578,8958,399134458,1359860
282651557,4368467213,18941,570842041,2062105
464238835,3034207224,3524,120955541,353061
1227896729,1137460596,5021,175612250,494634
4871267799,1269035088,9112,418535750,1296164
2381463184,2811645416,15611,555078500,1844534
2093234477,389078426,5924,199454500,510820
1297804187,2381790172,10406,406604042,1324507
1583313200,1207267848,15992,598796333,1922344
4348887792,3194252242,14048,543497125,1778075
1352153221,1262401298,17438,566336000,2016035
1776553666,374401540,15215,564728041,1971013
5306341621,310256174,13658,473613292,1678299
303648764,3723733063,4082,149690542,374627
1153165531,3017035966,9447,473248333,1329469
418044346,2475185374,5261,310055166,860482
3741462602,320199193,18027,605296000,2025039
303793606,3397875583,3438,30157542,71685
149180545,1323378100,6367,303557167,1005387
2475419146,3718850002,18806,611970375,1980959
5221939272,280593014,2451,96924375,290088
2507522525,2282880742,6331,267607083,719172
278781999,284852647,13154,459754375,1606164
2064649097,556163137,9178,447715292,1305165
1272527885,117592,3846,167339042,500973
1877830881,2349873762,15088,515866625,1804750
249495297,1173213554,20136,632718542,2191582
3403893677,1996104796,3228,198144958,411737
1570136383,5402591259,16476,559983584,1943796
3680314006,369910053,13897,500579750,1676570
1034079070,3443519169,7227,322442333,1047274
1233762972,3190136271,7029,348395292,1054370
313927853,3051432601,14530,604637208,1799099
1324014001,281707074,9488,532861666,1645009
473594054,1586051055,12618,486975041,1594531
1168350377,4927543547,20784,632676375,2234637
1163347709,2423853314,4824,100254666,279692
5294658747,1169669981,15803,538519458,1894969
3073204574,391146587,18611,594467250,2077337
288884134,717297573,4127,77178750,198886
1722997161,4927486814,2040,42875125,104017
1579844245,1532644555,5633,296806333,812699
1144142910,2631260750,20687,687564542,2193634
1535682264,6161429,8196,371605250,1224869
1583987242,27380526,17520,518105458,1843885
479246311,1676720313,5241,233724667,545474
2376477657,3712247366,16901,574589834,1997516
344870609,1164768794,20592,637817292,2207596
1707108145,271843906,10855,560748125,1509846
459781301,898733693,1215,7194333,11833
3330556440,281260936,5292,255056833,735235
119286695,245794872,7525,276441666,873734
4733021960,5312613623,5484,292563750,777429
1142993260,3120058021,4784,225966083,615840
287326225,493428607,4135,215007500,646523
4200198434,671532714,10476,537774459,1657673
3783446585,2489387094,3582,168982959,383074
247956770,289241937,9639,447637083,1318636
311811541,608653499,13868,595431833,1931282
546864598,1338797090,7650,350100958,1083784
949481335,265900859,6031,293707917,799021
2070600170,4252216501,11960,455988959,1507667
2372991717,26915205,19722,610828042,2192235
391104567,307398232,14320,482936000,1710930
1130139158,1126297288,17476,591752375,2018189
117266,1228985511,5157,248157500,734015
611218981,2371590608,7875,410165458,947217
2790506139,76812640,11691,605218375,1806561
313316518,917365878,9936,358240417,1009773
73184165,1667251576,12863,468307208,1590190
899417698,3039174039,3942,190089834,560103
918508104,4127957304,10765,455120917,1494379
2801633506,1848735405,4573,170564250,477632
2343073339,2474172952,15776,599987792,1905863
287272533,1586671638,5680,315985667,920738
327493705,61105022,23676,669410583,2289151
130550362,4982960405,6552,294068459,765762
1586671678,1412400753,7990,330916375,1023977
321350014,4366783443,5655,200044459,535806
671906263,4788497834,2682,42455208,111310
1148158333,476901066,2507,103704000,266366
1414879569,1224605343,6477,273070250,807948
560155475,7918301,13545,508388208,1632074
1100923656,2482644538,9681,395945916,1101360
1124844543,410937248,7004,295981167,725223
2485455720,258361442,16221,549919125,1942877
1509635016,1415215721,17076,563775459,2016971
1102860809,1516815708,12853,551858375,1730445
1458501918,1106265280,13067,432964500,1387248
