source,target,distance,time_ns,relaxed
1516859209,3006856855,6460,70422542,325377
460404157,294733430,903,2802000,5869
4194388185,3398603118,18606,216261917,1038850
1235136313,614396322,11343,111688667,550794
1218053534,4202689847,1337,6456458,17715
4890334323,1036613849,4749,82292083,345246
295078558,318115712,863,4609875,10425
1596568073,260108935,13634,193555083,985639
305705156,1583979659,2142,24408542,90195
309772317,1264999858,19026,230132000,1132459
388004401,444741419,13805,122958792,625713
3635719741,1756570161,15249,153008375,782662
279160910,2465833276,9585,70212083,315181
2027842689,2088147591,5544,53753792,212858
202876223,712159053,9129,155335334,722528
2410759326,87285667,2955,32919916,127265
252436675,410063712,14355,243188125,1099591
2887340536,484698639,7907,105418375,430789
281898894,403147391,9501,200135167,836610
3762081099,2661346557,5671,60397875,247251
1370086128,2378833281,14201,208828334,953991
1128777933,2149103585,5319,63634542,275459
107392872,3076472452,16433,245453791,1157060
1699270920,371780883,8902,96935542,428718
2680197109,1724792,2322,41715541,157154
4602713515,670666396,5032,73700292,348194
1232919457,3520798794,2735,9185416,25284
2776380679,311603653,4527,76886958,343033
2459588604,3698777349,6932,121396542,523134
1222226765,2054834830,2337,21292667,78457
73316842,722949459,16352,206556084,946094
3891040212,3561924493,4375,71706083,297236
4177631584,348622117,4734,69394959,313851
1141256477,30097922,4952,54543583,211912
31389427,5034342468,3400,54133791,213043
1134028043,281235846,5674,100543000,471965
252618924,656071893,8299,151998250,754328
4258489392,1149417416,14282,203161458,990335
403419124,20946303,16179,234630792,1084181
30411698,1098758108,5690,66285083,284545
1750260168,435046208,2931,28920208,106172
267948226,313957711,10581,161897209,769317
466294792,430859601,3215,43578750,186645
1980088821,250229191,5385,51565500,206791
4846283587,2422270545,13272,139014417,641947
1125684997,259983927,20064,226703166,1168667
270091463,394352889,14118,211342125,1049308
3476268021,292486133,16158,243056750,1018683
2276119273,587703084,6962,51547708,208293
4999199796,3341699844,16666,230312417,1154461
190717168,860553508,4892,75194750,343261
2305021737,1104297590,1321,7593333,20256
2990545269,1539932585,10243,153210083,746825
334244208,293892082,8844,102204292,440876
3253922884,5310333353,3338,47061209,192061
1096242146,1832881646,8092,130542833,548003
2493603024,280593015,3654,45213917,180397
3707639488,312487820,11673,110613541,527313
1234960408,685330817,13142,133493625,637241
2388294448,1086032676,21761,233277708,1149606
26198072,1064928812,1964,24493584,86531
32629307,3645512279,15764,131828708,673414
685331542,1093864166,11915,177137959,844383
664606182,281382106,9909,183240833,873146
1316460957,4935123342,9808,145281833,649530
2709031304,1271367820,23017,231912958,1081816
4860703859,440324142,14084,210955375,1049289
4195971788,870415052,13447,193075500,938593
95248066,1158109569,11246,122696375,564202
2520774337,5060556617,8335,137461250,679830
34570622,306245578,8958,148871375,746016
282651557,4368467213,18941,238812375,1167318
464238835,3034207224,3524,34867917,133432
1227896729,1137460596,5021,68808208,280627
4871267799,1269035088,9112,101650417,463359
2381463184,2811645416,15611,143419167,718497
2093234477,389078426,5924,70192250,317126
